smiles,name,category
CCO,Ethanol,Alcohol
CC(=O)O,Acetic acid,Carboxylic acid
c1ccccc1,Benzene,Aromatic hydrocarbon
CC(C)O,Isopropanol,Alcohol
CCN(CC)CC,Triethylamine,Amine
c1ccc(cc1)O,Phenol,Aromatic alcohol
CC(=O)OC1=CC=CC=C1C(=O)O,Aspirin,Carboxylic acid ester
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,Alkaloid
CC(C)(C)OC(=O)NC1CCC(CC1)O,Boc-protected cyclohexanol,Protected alcohol
CCCCCCCCCCCCCCC(=O)O,Palmitic acid,Fatty acid
c1ccc2c(c1)cccn2,Quinoline,Aromatic heterocycle
CC1=CC=C(C=C1)C,p-Xylene,Aromatic hydrocarbon
CCCCO,Butanol,Alcohol
CC(C)C,Isobutane,Alkane
c1ccc(cc1)N,Aniline,Aromatic amine
CC(=O)N,Acetamide,Amide
CCCCCCCCCCCCCCCCCC(=O)O,Stearic acid,Fatty acid
c1ccc(cc1)C(=O)O,Benzoic acid,Aromatic carboxylic acid
CCc1ccccc1,Ethylbenzene,Aromatic hydrocarbon
CC(C)CC(C)(C)C,"2,2,4-Trimethylpentane",Branched alkane
O=C1c2ccccc2C(=O)N1C3CCC(=O)NC3=O,Thalidomide,Phthalimides
