smiles	name	properties
O=C1CCCCC1(c1ccccc1Cl)N1CCCCC1	2-Cl-2'-Oxo-PCP	arylcycloalkylamine
CCCCNC1(c2ccccc2)CCCCC1	PCB	arylcycloalkylamine
COc1ccccc1C1(N2CCCCC2)CCCCC1	2-MeO-PCP	arylcycloalkylamine
c1ccc(C2(n3cccc3)CCCCC2)cc1	PCPyrrole	arylcycloalkylamine
Fc1cccc(C2(N3CCCC3)CC3CCC2C3)c1	3F-PBCHPy	arylcycloalkylamine
COc1ccc(C2(NCC3CCCO3)CCCCC2)cc1	1-(4-Methoxyphenyl)-N-[(oxolan-2-yl)methyl]cyclohexan-1-amine	arylcycloalkylamine
COc1ccc(C2(N3CCCC3)CC3CCC2C3)cc1	4-MeO-PBCHPy	arylcycloalkylamine
C=CCN(CC)C1(c2ccccc2)CCCCC1	N-Allyl-PCE	arylcycloalkylamine
CCCCCNC1(c2ccccc2)CCCCC1	PCPe	arylcycloalkylamine
OC1CCCCC1(c1ccccc1)N1CCCCC1	2'-HO-PCP	arylcycloalkylamine
Cc1ccccc1C1(N2CCCC(O)C2)CCCCC1	3″-HO-2-Me-PCP	arylcycloalkylamine
c1ccc(C2(N3CCCCC3)CCCC2)cc1	PCPEP	arylcycloalkylamine
CCN(C)C1(c2ccccc2C)CCCCC1	2-Me-PCEM	arylcycloalkylamine
Fc1ccccc1C1(N2CCCC2)CC2CCC1C2	2F-PBCHPy	arylcycloalkylamine
CC(C)OCCCNC1(c2ccccc2)CCCCC1	1-Phenyl-N-{3-[(propan-2-yl)oxy]propyl}cyclohexan-1-amine	arylcycloalkylamine
CCNC1(c2ccc(C)cc2)CCCCC1	4-Me-PCE	arylcycloalkylamine
CCNC1(c2cccc(OC)c2)CCCCC1=O	MXE	arylcycloalkylamine
CCOC(=O)CCCN(C)C1(c2ccccc2Cl)CCCCC1=O	Et-KE-Bu	arylcycloalkylamine
CCNC1(c2ccccc2)CCCCC1	PCE	arylcycloalkylamine
c1cc2c(cc1C1(N3CCOCC3)CCCCC1)OCO2	3,4-MD-PCMo	arylcycloalkylamine
OCCNC1(c2ccccc2)CCCCC1	PCEOH	arylcycloalkylamine
c1ccc(C2(N3CCCCC3)CCCCCCC2)cc1	PCOP	arylcycloalkylamine
COc1ccc(C2(N3CCCCC3)CC3CCC2C3)cc1	4-MeO-PBCHP	arylcycloalkylamine
COc1cccc(C2(N3CCCCC3)CCCc3ccccc32)c1	1-[1-(3-Methoxyphenyl)-1,2,3,4-tetrahydronaphthalen-1-yl]piperidine	arylcycloalkylamine
CCNC12CCCCC1CCc1ccccc12	N-Ethyl-1,3,4,9,10,10a-hexahydrophenanthren-4a(2H)-amine	arylcycloalkylamine
c1ccc([C@]2(N3CCCCC3)C[C@H]3C[C@H]3C2)cc1	1-[(1R,3r,5S)-3-Phenylbicyclo[3.1.0]hexan-3-yl]piperidine	arylcycloalkylamine
c1ccc(C2(N3CCCCC3)CN3CCC2CC3)cc1	P3QP	arylcycloalkylamine
COc1cccc(C2(N3CCCC3)CCCCC2=O)c1	3-MeO-2'-Oxo-PCPy	arylcycloalkylamine
c1cc2c(cc1C1(N3CCCCC3)CCCCC1)OCCO2	3,4-ED-PCP	arylcycloalkylamine
NC1(c2ccccc2Cl)CCCNC1=O	3-Amino-3-(2-chlorophenyl)piperidin-2-one	arylcycloalkylamine
CC[C@]1(c2ccccc2)OC[C@H]([C@@H]2CCCCN2)O1	CL-1848C	arylcycloalkylamine
O=[N+]([O-])c1cccc(C2(N3CCCCC3)CCCCC2)c1	3-NO2-PCP	arylcycloalkylamine
Fc1cccc(C2(N3CCCCC3)CCCCCC2)c1	3F-PCHEP	arylcycloalkylamine
CCNC1(c2cccc(OC(C)C)c2)CCCCC1=O	iPXE	arylcycloalkylamine
COc1cc(C2(N3CCCCC3)CCCCC2)ccc1C	3-MeO-4-Me-PCP	arylcycloalkylamine
O=C1CCC(c2ccccc2)(N2CCCCC2)CC1	4'-Oxo-PCP	arylcycloalkylamine
CCNC1(c2ccc3c(c2)OCO3)CCCCC1	3,4-MD-PCE	arylcycloalkylamine
CNC1(c2ccccc2OC)CCCCC1=O	2-MDCK	arylcycloalkylamine
CCOc1cccc(C2(N3CCCCC3)CCCCC2)c1	3-EtO-PCP	arylcycloalkylamine
CNC1(c2ccccc2C)CCCCC1=O	o-MDCK	arylcycloalkylamine
CNC1(c2cccc(Cl)c2)CCCCC1=O	meta-Ketamine	arylcycloalkylamine
CCNC1(c2cc(OC)ccc2Br)CCCCC1=O	Bromo-methoxetamine	arylcycloalkylamine
CNC1(c2cccc(OC)c2)CCCCC1=O	MXM	arylcycloalkylamine
CCCOC(=O)CCNC1(c2ccccc2Cl)CCCCC1=O	nPr-NKE-Et	arylcycloalkylamine
CC1CCCCC1(c1ccccc1)N1CCCCC1	2'-Me-PCP	arylcycloalkylamine
Cc1ccc(C2(N3CCC(O)CC3)CCCCC2O)cc1	2',4″-HO-4-Me-PCP	arylcycloalkylamine
NC1(c2ccccc2Cl)CCC(O)CC1=O	(2,5)-HNK	arylcycloalkylamine
Fc1cccc(C2(N3CCCCC3)CC3CCC2C3)c1	3F-PBCHP	arylcycloalkylamine
CC(C)NC1(c2ccccc2)CCCCC1	PCiP	arylcycloalkylamine
Fc1ccc(C2(N3CCCCC3)CCCCCC2)cc1	4F-PCHEP	arylcycloalkylamine
CCCNC1(c2ccccc2)CCCC1	PCPEPr	arylcycloalkylamine
CC(C)Oc1cccc(C2(N)CCCCC2)c1	3-IpO-PCA	arylcycloalkylamine
CC(O)CNC1(c2ccccc2)CCCCC1	1-[(1-Phenylcyclohexyl)amino]propan-2-ol	arylcycloalkylamine
Cc1ccc(C2(N(C)C)CCC(O)(CCc3ccccc3)CC2)cc1	MDPC	arylcycloalkylamine
Cc1cc(O)ccc1C1(N2CCOCC2)CCCCC1	4-HO-2-Me-PCMo	arylcycloalkylamine
O=C1CCCCC1(c1ccccc1)N1CCCC1	2-Phenyl-2-(pyrrolidin-1-yl)cyclohexan-1-one	arylcycloalkylamine
CNC1(c2ccccc2Cl)CCCCCC1=O	2-(2-Chlorophenyl)-2-(methylamino)cycloheptan-1-one	arylcycloalkylamine
CCN(CC)C1(c2ccccc2)CCCCC1	PCDE	arylcycloalkylamine
COc1cccc([C@@]2(O)CCN(C3(c4ccccc4)CCCCC3)C[C@@H]2CN(C)C)c1	US 7049327 #6	arylcycloalkylamine
Cc1cccc(C2(N3CCCC3)CC3CCC2C3)c1	3-Me-PBCHPy	arylcycloalkylamine
C#Cc1ccc2c(c1)C(c1ccccc1F)=N[C@@H](C)c1c(C(=O)N(C)C)ncn1-2	GL-i-54	aryldiazepine
O=C1CN=C(c2c(F)cccc2F)c2cc(Cl)ccc2N1	Ro-07-3953	aryldiazepine
O=C1CN=C(c2ccn[nH]2)c2cc(Cl)ccc2N1	SCHEMBL9684958	aryldiazepine
C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(C(N)=O)ncn1-2	MP-ii-065	aryldiazepine
CN1C(=O)CN=C(c2ccccc2F)c2c(Cl)cccc21	Ro-13-0699	aryldiazepine
C#Cc1ccc2c(c1)C(c1ccccc1)=NCc1c(C(=O)OCC(F)(F)F)ncn1-2	DM-ii-20	aryldiazepine
O=C1OCCC2N=C(c3ccccc3)c3ccccc3-n3cnc1c32	8-Phenyl-6,6a-dihydro-4-oxa-2,7,12b-triazabenzo[b]cyclopenta[kl]heptalen-3(5H)-one	aryldiazepine
