smiles	properties
NCCc1ccc(c(c1)OC)OC	peyote alkaloid
NCCc1cc(OC)c2c(c1)OCO2	peyote alkaloid
NCCc1cc(OC)c(c(c1)OC)OC	peyote alkaloid
NCCc1ccc2c(c1)OCO2	peyote alkaloid
COc1cc(CCNC(=O)C)cc(c1OC)OC	peyote alkaloid
CNCCc1cc(OC)c(c(c1)OC)OC	peyote alkaloid
CN(CCc1ccc2c(c1)OCO2)C	peyote alkaloid
CC(Cc1ccc(cc1)Br)N	neurotoxin
Oc1cc2CNCCc2cc1O	neurotoxin
CC1NCCc2c1cc(O)c(c2)O	neurotoxin
COc1ccc2c(c1)c(CCNCCCc1ccccc1)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCCCCc1ccccc1)c[nH]2	tryptamine
CCNCCc1c[nH]c2c1cc(OC)cc2	tryptamine
COc1ccc2c(c1)c(CCNCc1ccc(cc1)F)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1ccc(cc1)Cl)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1ccc(cc1)Br)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1ccc(cc1)I)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1ccc(cc1)C)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1ccc(cc1)N)c[nH]2	tryptamine
COc1ccc2c(c1)c(CCNCc1ccc(cc1)N(=O)=O)c[nH]2	tryptamine
COc1ccc(cc1)CNCCc1c[nH]c2c1cc(OC)cc2	tryptamine
OC(=O)[C@H](Cc1c[nH]c2c1c(O)ccc2)N	tryptamine
C[N+](CCc1c[nH]c2c1cccc2)(C)C	tryptamine
NCCc1c[nH]c2c1cc(Br)cc2	tryptamine
Cc1c(CC(N)C)c2c([nH]1)ccc(c2)F	tryptamine
CC(Cc1c[nH]c2c1cc(C)cc2)N	tryptamine
CC(Cc1c[nH]c2c1c1ccccc1cc2)N	tryptamine
CCNC1(CCCCC1=O)c1cccc(c1)OC	arylcycloalkylamine
C1CCC(CC1)(N1CCCC1)c1ccccc1	arylcycloalkylamine
CC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1	fentanyl
CCCC(=O)N(c1ccc(cc1)F)C1CCN(CC1)CCc1ccccc1	fentanyl
CC(Cc1c[nH]c2c1cc(Cl)cc2)N	tryptamine
C[C@@H](Cc1c[nH]c2c1c1CCCOc1cc2)N	tryptamine
C=CC(=O)N(c1ccccc1)C1CCN(CC1)CCc1ccccc1	fentanyl
CCNC1(CCCCC1=O)c1ccccc1	arylcycloalkylamine
Fc1ccc(cc1)N(C(=O)C(C)C)C1CCN(CC1)CCc1ccccc1	fentanyl
O=C(N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)c1ccccc1	fentanyl
O=C(N(c1ccccc1)C1CCN(CC1)CCc1ccccc1)C1CCCO1	fentanyl
CCN(C1(CCCCC1)c1ccccc1)CC	arylcycloalkylamine
CCCNC1(CCCCC1)c1ccccc1	arylcycloalkylamine
CC(NC1(CCCCC1)c1ccccc1)C	arylcycloalkylamine
COCCNC1(CCCCC1)c1ccccc1	arylcycloalkylamine
CCOCCNC1(CCCCC1)c1ccccc1	arylcycloalkylamine
COCCCNC1(CCCCC1)c1ccccc1	arylcycloalkylamine
OCCNC1(CCCCC1)c1ccccc1	arylcycloalkylamine
C1CCC(CC1)(N1CCCC1)c1cccs1	arylcycloalkylamine
Cc1ccc(cc1)C1(CCCCC1)N1CCCCC1	arylcycloalkylamine
CC1CCN(CC1)C1(CCCCC1)c1ccccc1	arylcycloalkylamine
C1CCC(CC1)(N1CCOCC1)c1ccccc1	arylcycloalkylamine
COc1ccc(cc1)C1(CCCCC1)N1CCCCC1	arylcycloalkylamine
COc1ccccc1C1(CCCCC1)N1CCCCC1	arylcycloalkylamine
COc1cccc(c1)C1(CCCCC1)N1CCCC1	arylcycloalkylamine
CCNC1(CCCCC1)c1cccc(c1)OC	arylcycloalkylamine
CCCNC1(CCCCC1)c1cccc(c1)OC	arylcycloalkylamine
CCNC1(CCCCC1)c1cccc(c1)O	arylcycloalkylamine
Oc1cccc(c1)C1(CCCCC1)N1CCCCC1	arylcycloalkylamine
COc1cccc(c1)C1(CCCCC1)N1CCOCC1	arylcycloalkylamine
CNC1(CCCCC1=O)c1ccccc1OC	arylcycloalkylamine
C[C@@H]1CCCC[C@@]1(N1CCCCC1)c1cccs1	arylcycloalkylamine
C1CC[C@H](NC1)[C@H]1COC(O1)(c1ccccc1)c1ccccc1	arylcycloalkylamine
CC[C@@]1(OC[C@@H](O1)[C@@H]1CCCCN1)c1ccccc1	arylcycloalkylamine
CNC1(CCCCC1=O)c1ccccc1F	arylcycloalkylamine
CCNC1(CCCCC1=O)c1ccccc1Cl	arylcycloalkylamine
C1CCN(CC1)C1(CCCCC1)c1cc2c(s1)cccc2	arylcycloalkylamine
CNC1(CCCCC1=O)c1ccccc1	arylcycloalkylamine
CNC1(CCCCC1=O)c1cccc(c1)OC	arylcycloalkylamine
NC1(CCCCC1)c1ccccc1	arylcycloalkylamine
CNC1(CCCCC1)c1ccccc1	arylcycloalkylamine
CCCCNC1(CCCCC1)c1ccccc1	arylcycloalkylamine
CCC(NC1(CCCCC1)c1ccccc1)C	arylcycloalkylamine
C1CCCC(CC1)(N1CCCC1)c1ccccc1	arylcycloalkylamine
CN(C1(CCCCC1)c1ccccc1)C	arylcycloalkylamine
NC1(CCCCCC1)c1ccccc1	arylcycloalkylamine
C1CCC(CC1)(N1CCCCCC1)c1ccccc1	arylcycloalkylamine
C1CCN(CC1)C1(CCCC1)c1ccccc1	arylcycloalkylamine
C1CCCC(CC1)(N1CCCCC1)c1ccccc1	arylcycloalkylamine
COc1ccc(cc1)CC=C	essential oil
C/C=C\c1ccc(cc1)OC	essential oil
